CodigoProduto;NomeProduto;Comprimento;Largura;FC;FCConvertido;Custo;Material
30.10.10.16.0141;FITA PP AR9 45 HA 072X090 - M;90;72;6,48;;4,01549772;Fita PP
30.10.30.13.0083;FITA PP HM 40 TR 036X1200 - M;1200;36;43,2;;36,89189567;Fita PP
30.10.10.18.0174;FITA PP AR9 45 TR 096X1200 - M;1200;96;115,2;;68,78004615;Fita PP
30.10.10.18.0275;FITA PP AR9 45 TR 096X1200 - PERSONALIZADA;1200;96;115,2;;68,78004615;Fita PP
30.10.10.18.0253;FITA PP AR9 45 TR 012X050 - PERSONALIZADA;50;12;0,6;;0,384797565;Fita PP
30.10.10.16.0150;FITA PP AR9 45 HA 048X085 - PERSONALIZADA;85;48;4,08;;2,427476044;Fita PP
30.10.10.18.0159;FITA PP AR9 45 TR 048X900 - M;900;48;43,2;;24,54914674;Fita PP
30.10.30.13.0089;FITA PP HM 40 TR 048X1000 - M;1000;48;48;;39,51643104;Fita PP
30.10.10.12.0124;FITA PP AA 40 TR 024X200 - M ;200;24;4,8;;2,555019715;Fita PP
30.10.10.12.0061;FITA PP AA 40 TR 096X1200 - M;1200;96;115,2;;60,46273701;Fita PP
30.10.10.12.0171;FITA PP AA 40 TR 036X1000 - M;1000;36;36;;18,98252211;Fita PP
30.10.10.12.0074;FITA PP AA 40 TR 240X1200 - M;1200;240;288;;151,6393769;Fita PP
30.10.10.12.0168;FITA PP AA 40 TR 018X200 - M;200;18;3,6;;1,920622471;Fita PP
30.10.30.13.0085;FITA PP HM 40 TR 048X045 - M;45;48;2,16;;1,892874118;Fita PP
30.10.30.16.0024;FITA PP HM 45 TR 024X100 - M;100;24;2,4;;2,264478672;Fita PP
30.10.71.01.0002;FITA PP BRC 50 TR 048X100 - M;100;48;4,8;;4,493479596;Fita PP
30.10.30.13.0142;FITA PP HM 40 TR 048X400 - M;400;48;19,2;;15,89506426;Fita PP
30.10.10.18.0197;FITA PP AR9 45 TR 288X1200 - M;1200;288;345,6;;195,5226545;Fita PP
30.10.10.11.0021;FITA PP AA 40 HA 072X100 - PERSONALIZADA;100;72;7,2;;3,920770628;Fita PP
30.10.10.11.0051;FITA PP AA 40 HA 048X100 - PERSONALIZADA;100;48;4,8;;2,48718325;Fita PP
